player,team,games_played,mpg,ppg,rpg,apg,espn_id
Jaeden Roberts,Hofstra,23,8.3,4.1,0.8,0.8,5312164
A.J. Wills,Hofstra,18,10.2,3.2,0.3,0.7,5176061
Joshua Aaron Reaves,Hofstra,24,10.0,2.3,2.0,0.1,4703169
Amir Williams,Hofstra,3,5.7,1.3,1.7,0.0,5239633
Alex Tsynkevich,Hofstra,16,4.1,0.8,1.4,0.1,5177536
Kingston Flemings,Houston,34,31.7,16.4,3.9,5.3,5149077
Emanuel Sharp,Houston,34,29.5,15.3,2.9,1.8,5106058
Milos Uzan,Houston,34,32.9,11.1,2.6,4.0,5106272
Chris Cenac Jr.,Houston,34,24.7,9.5,7.5,0.8,5142621
Joseph Tugler,Houston,34,23.4,8.4,5.4,1.2,5060700
Mercy Miller,Houston,33,11.3,4.8,1.8,0.4,4873086
Chase McCarty,Houston,32,11.9,4.0,2.4,0.2,5101660
Isiah Harwell,Houston,30,14.5,3.8,2.1,0.6,5041942
Kalifa Sakho,Houston,31,13.0,2.5,2.6,0.1,5176274
Ramon Walker Jr.,Houston,27,11.0,2.5,2.0,0.5,4708176
Kordel Jefferson,Houston,3,3.7,1.3,0.7,0.3,5070506
Cedric Lath,Houston,19,4.2,0.5,0.7,0.1,5117524
Jacob McFarland,Houston,3,3.3,0.0,1.0,0.0,5095062
Cedric Taylor III,Howard,22,32.5,17.1,6.7,3.3,5192142
Bryce Harris,Howard,33,32.1,17.1,6.9,2.5,4897768
Cam Gillus,Howard,33,32.4,10.6,4.3,4.6,5176075
Ose Okojie,Howard,33,25.4,10.5,3.8,1.7,5107986
Travelle Bryson,Howard,29,18.9,8.8,3.4,0.9,5316220
Alex Cotton,Howard,30,26.5,8.7,3.0,1.2,5175065
Danas Kazakevicius,Howard,32,15.3,3.9,2.6,1.1,5316219
Isaiah Brown,Howard,31,10.8,2.8,1.1,1.5,5243100
Ed Holland III,Howard,24,9.5,1.9,2.0,0.4,4898226
BJ Powell,Howard,21,4.1,1.6,0.2,0.3,5316214
Calvin Robins Jr.,Howard,31,5.9,1.5,1.3,0.1,5250600
Jeremiah Johnson,Howard,21,6.9,1.3,0.7,0.3,5316218
Julian Johnson,Howard,14,3.9,1.3,0.7,0.1,5316216
Shane Frazier,Howard,11,2.0,0.8,0.1,0.1,5316215
Stefan Isailovic,Howard,12,2.8,0.8,0.4,0.0,5316213
River Smith,Howard,11,2.1,0.3,0.4,0.1,5316217
Kristian Gonzalez,Idaho,1,18.0,18.0,1.0,0.0,5176303
Jackson Rasmussen,Idaho,34,30.9,13.9,4.7,1.3,5237588
Kolton Mitchell,Idaho,32,30.3,13.7,3.3,3.9,5176318
Biko Johnson,Idaho,35,27.6,12.4,3.7,2.4,5177021
Isaiah Brickner,Idaho,34,20.4,12.1,3.9,0.9,5107768
Brody Rowbury,Idaho,35,24.4,7.8,5.2,1.0,5108917
Jack Payne,Idaho,33,21.8,6.7,4.2,1.3,5107563
Seth Joba,Idaho,35,17.3,5.3,3.6,0.4,5174853
Miles Klapper,Idaho,29,12.1,3.8,1.9,0.8,5176305
Trevon Blassingame,Idaho,34,16.8,3.7,2.6,0.6,5106590
Aidan Sevilla,Idaho,22,6.0,1.8,0.9,0.8,4902201
Ewan Steele,Idaho,14,6.7,1.6,1.6,0.5,5241270
Keaton Wagler,Illinois,32,33.7,17.9,4.8,4.4,5254165
Andrej Stojakovic,Illinois,29,26.4,13.4,4.6,1.0,5175007
David Mirkovic,Illinois,32,29.3,13.4,7.8,2.6,5311832
Kylan Boswell,Illinois,25,30.5,13.2,4.0,3.3,4684269
Tomislav Ivisic,Illinois,29,25.2,10.0,5.5,1.6,5214642
Zvonimir Ivisic,Illinois,32,17.7,7.0,4.8,0.3,5174665
Ben Humrichous,Illinois,32,22.6,6.1,4.1,0.8,5177736
Jake Davis,Illinois,32,20.3,5.8,2.2,0.8,5176150
Mihailo Petrovic,Illinois,17,6.1,1.8,0.7,1.2,5311835
Brandon Lee,Illinois,16,4.3,1.6,0.4,0.2,5311833
AJ Redd,Illinois,9,2.4,1.4,0.4,0.0,5121952
