rank,player,team,seed,region,ppg,expected_games,injury_status,projected_points
318,DeWayne Brown II,Tennessee,6,Midwest,4.9,2.3022837227775246,HEALTHY,11.4
319,Luke Bamgboye,Texas Tech,5,Midwest,4.7,2.3132794264549643,HEALTHY,11.3
320,Theo Seng,Troy,13,South,12.9,1.0371344851192648,HEALTHY,11.3
321,Malachi Smith,Connecticut,2,East,3.5,3.2550121335565096,HEALTHY,11.2
322,James Patterson,Hofstra,13,Midwest,9.5,1.1364812086110605,HEALTHY,11.2
323,Cooper Campbell,Troy,13,South,12.7,1.0371344851192648,HEALTHY,11.1
324,Brenton Knapper,Santa Clara,10,Midwest,7.7,1.5274404873065817,HEALTHY,11.1
325,Liutauras Lelevicius,TCU,9,East,8.4,1.3781636306788012,HEALTHY,11.1
326,Josiah Moseley,Texas Tech,5,Midwest,4.6,2.3132794264549643,HEALTHY,11.1
327,Nasir Mann,Queens,15,West,13.4,1.0127138664012434,HEALTHY,11.1
328,German Plotnikov,Hofstra,13,Midwest,9.3,1.1364812086110605,HEALTHY,11.0
329,Ben Schwieger,Northern Iowa,12,East,9.9,1.1553564921640362,HEALTHY,10.9
330,Harry Rouhliadeff,Hawaii,13,West,10.8,1.0686910580991416,HEALTHY,10.9
331,Derek Dixon,North Carolina,6,South,6.4,1.7095102517252092,HEALTHY,10.8
332,TJ Burch,Wright St.,14,Midwest,12.3,1.036398630385347,HEALTHY,10.8
333,Braden East,Kennesaw St.,14,West,12.8,1.0279142179882685,HEALTHY,10.7
334,Trevian Carson,North Dakota St.,14,East,12.0,1.0451906615013515,HEALTHY,10.7
335,Jackson Rasmussen,Idaho,15,South,13.9,1.0137974280945312,HEALTHY,10.6
336,Markhi Strickland,North Dakota St.,14,East,11.8,1.0451906615013515,HEALTHY,10.6
337,Shawn Phillips Jr.,Missouri,10,West,7.7,1.3745380460522134,HEALTHY,10.6
338,Brock Harding,TCU,9,East,8.0,1.3781636306788012,HEALTHY,10.5
339,Tanner Toolson,TCU,9,East,8.0,1.3781636306788012,HEALTHY,10.5
340,Yoav Berman,Queens,15,West,12.6,1.0127138664012434,HEALTHY,10.5
341,Kolton Mitchell,Idaho,15,South,13.7,1.0137974280945312,HEALTHY,10.5
342,Barry Evans,VCU,11,South,7.3,1.4760090682150464,HEALTHY,10.5
343,Kam Williams,Kentucky,7,Midwest,6.2,1.715176414913244,HEALTHY,10.5
344,Michael Belle,VCU,11,South,7.3,1.4760090682150464,HEALTHY,10.5
345,Garry Clark,Utah St.,9,West,6.8,1.616518568726879,HEALTHY,10.4
346,Jah'Likai King,UMBC,16,Midwest,13.9,1.005564294641819,HEALTHY,10.4
347,Jordan Ross,Georgia,8,Midwest,6.6,1.6624206907953474,HEALTHY,10.4
348,Michael Imariagbe,Wright St.,14,Midwest,11.8,1.036398630385347,HEALTHY,10.4
349,Dillon Hunter,Clemson,8,South,7.5,1.4382896380945465,HEALTHY,10.4
350,Asa Thomas,Furman,15,East,12.4,1.0183287316112681,HEALTHY,10.2
351,Kael Combs,Iowa,9,South,5.9,1.7814513301612496,HEALTHY,10.2
